"","chain1","chain2","chain1_dis","chain2_dis"
"260",0.532768704081152,0.603247333085584,0.55,0.6
"261",0.51503577362043,0.573309903442699,0.5,0.55
"262",0.499842099697306,0.556267397833013,0.5,0.55
"263",0.499842099697306,0.58821360237352,0.5,0.6
"264",0.499842099697306,0.58821360237352,0.5,0.6
"265",0.452608444605791,0.595956287189359,0.45,0.6
"266",0.452608444605791,0.580361519468766,0.45,0.6
"267",0.467691779985583,0.580361519468766,0.45,0.6
"268",0.476621071825374,0.580361519468766,0.5,0.6
"269",0.480496094412666,0.580361519468766,0.5,0.6
"270",0.506096455137459,0.580361519468766,0.5,0.6
"271",0.506096455137459,0.580361519468766,0.5,0.6
"272",0.388019510987527,0.586215986120186,0.4,0.6
"273",0.44275298384816,0.53383332643174,0.45,0.55
"274",0.488601517830426,0.539962878460707,0.5,0.55
"275",0.458181723499705,0.538290304319587,0.45,0.55
"276",0.458181723499705,0.538290304319587,0.45,0.55
"277",0.506444330728452,0.522864498996279,0.5,0.5
"278",0.506444330728452,0.524978464077387,0.5,0.5
"279",0.49691802836542,0.531278410929072,0.5,0.55
"280",0.478061969414545,0.531278410929072,0.5,0.55
"281",0.505823614596181,0.531278410929072,0.5,0.55
"282",0.505823614596181,0.552778117817445,0.5,0.55
"283",0.453507228410539,0.580175065086192,0.45,0.6
"284",0.451566487269821,0.560700023879241,0.45,0.55
"285",0.474029646502145,0.527758761130875,0.45,0.55
"286",0.474060429324146,0.527758761130875,0.45,0.55
"287",0.481262813127379,0.527758761130875,0.5,0.55
"288",0.455321962052817,0.659544212647267,0.45,0.65
"289",0.489174280597072,0.652570743012866,0.5,0.65
"290",0.475010736519387,0.650948613915504,0.5,0.65
"291",0.547321592386866,0.631967115187764,0.55,0.65
"292",0.490861233031427,0.631967115187764,0.5,0.65
"293",0.457859307357509,0.640919098198689,0.45,0.65
"294",0.463890883790214,0.643950912621414,0.45,0.65
"295",0.463890883790214,0.643950912621414,0.45,0.65
"296",0.470165774596861,0.643950912621414,0.45,0.65
"297",0.460553975191502,0.672106115887781,0.45,0.65
"298",0.507858316778257,0.672106115887781,0.5,0.65
"299",0.546437846221676,0.685749203939325,0.55,0.7
"300",0.546437846221676,0.682327531192894,0.55,0.7
"301",0.546437846221676,0.666803758908035,0.55,0.65
"302",0.546437846221676,0.669642671550205,0.55,0.65
"303",0.461534909915356,0.669642671550205,0.45,0.65
"304",0.401577754559452,0.669642671550205,0.4,0.65
"305",0.402606022931925,0.645969821806424,0.4,0.65
"306",0.402606022931925,0.603837176380954,0.4,0.6
"307",0.402606022931925,0.603837176380954,0.4,0.6
"308",0.397395970223354,0.603837176380954,0.4,0.6
"309",0.407018182721546,0.603837176380954,0.4,0.6
"310",0.408514964239913,0.603837176380954,0.4,0.6
"311",0.470909931953226,0.587640130749814,0.45,0.6
"312",0.450699554769111,0.51719400955817,0.45,0.5
"313",0.42675246702482,0.537572060923431,0.45,0.55
"314",0.443661351575304,0.556075900504209,0.45,0.55
"315",0.426990019438142,0.556075900504209,0.45,0.55
"316",0.416492108178811,0.556075900504209,0.4,0.55
"317",0.416492108178811,0.556075900504209,0.4,0.55
"318",0.417465694619122,0.497938027077952,0.4,0.5
"319",0.500826283504776,0.564483514948141,0.5,0.55
"320",0.453356201802137,0.52270380161508,0.45,0.5
"321",0.453356201802137,0.52270380161508,0.45,0.5
"322",0.421234623343052,0.52270380161508,0.4,0.5
"323",0.485673716955855,0.52270380161508,0.5,0.5
"324",0.432326808329279,0.551226574952974,0.45,0.55
"325",0.432326808329279,0.551226574952974,0.45,0.55
"326",0.442127459985824,0.565572657347495,0.45,0.55
"327",0.449287090140903,0.559126994115383,0.45,0.55
"328",0.449287090140903,0.505358187298728,0.45,0.5
"329",0.502646331963904,0.467305283539138,0.5,0.45
"330",0.502646331963904,0.467305283539138,0.5,0.45
"331",0.427616666682799,0.467305283539138,0.45,0.45
"332",0.466828481420932,0.467305283539138,0.45,0.45
"333",0.467361339796122,0.467305283539138,0.45,0.45
"334",0.372034176288053,0.531068856999862,0.35,0.55
"335",0.444014288414502,0.531068856999862,0.45,0.55
"336",0.502560217802042,0.453851746054471,0.5,0.45
"337",0.542324077589179,0.43319295969077,0.55,0.45
